name,type,cask,location,age,abv %,cost,badge,# ratings,community rating,flavor summary,expert,expert score,smoky,earthy,spicy,herbal,oily,bitter,rich,sweet,mineral,salty,umami,tart,fruity,floral
CORRALEJO REPOSADO TEQUILA,TEQUILA REPOSADO,"FRENCH, AMERICAN, AND WHITE OAK",unknown,unknown,40.0,2,unknown,434,4.08,RICH,AMANDA SCHUSTER,96,25,30,40,20,15,5,60,40,25,15,10,0,40,5
CHINACO AÑEJO TEQUILA,TEQUILA AÑEJO,unknown,"TAMAULIPAS, MEXICO",NAS,40.0,3,CHINACO ,44,4.05,RICH & OILY,DUNCAN MCROBERTS,96,65,60,75,70,85,25,85,30,60,65,60,30,35,20
EL JOLGORIO TOBALÁ MEZCAL,MEZCAL JOVEN,UNAGED,"OAXACA, MEXICO",NAS,47.0,4,EL JOLGORIO ,41,4.59,FRUITY & SWEET,OMARI WHEAT,96,75,60,60,70,40,25,90,90,0,55,25,65,99,30
DON FULANO 20TH ANNIVERSARY EDITION,TEQUILA AÑEJO,"EX-OLOROSO, EX-AMONTILLADO, EX-BURGUNDY FRENCH OAK","LOS ALTOS, JALISCO, MEXICO",NAS,44.4,5,DON FULANO ,1,5.0,RICH,AMANDA SCHUSTER,95,3,15,10,15,15,0,70,30,0,5,10,0,10,0
CASA DRAGONES REPOSADO MIZUNARA,TEQUILA REPOSADO,MIZUNARA JAPANESE OAK,"TEQUILA VALLEY, JALISCO, MEXICO",NAS,40.0,5,CASA DRAGONES ,3,4.25,HERBAL & SPICY,STEPHANIE MORENO,95,0,25,65,80,30,25,60,45,25,10,0,25,30,0
LOS VECINOS DEL CAMPO ESPADIN MEZCAL,MEZCAL JOVEN,UNAGED,"OAXACA, MEXICO",NAS,45.0,2,LOS VECINOS DEL CAMPO ,41,3.81,UMAMI,JACK ROBERTIELLO,95,30,50,50,30,25,30,40,40,10,30,60,40,50,10
DON AMADO LARGO MEZCAL,MEZCAL JOVEN,UNAGED,"OAXACA, MEXICO",NAS,46.0,4,DON AMADO ,10,4.19,UMAMI & MINERAL,FORREST COKELY,95,65,68,78,77,64,31,58,59,80,63,82,42,70,72
PATRÓN CASK COLLECTION SHERRY AÑEJO,TEQUILA AÑEJO,SHERRY BUTTS,"LOS ALTOS, JALISCO, MEXICO",NAS,40.0,4,PATRÓN ,3,4.0,SWEET & RICH,BRAD JAPHE,95,5,43,10,25,25,19,60,70,19,10,28,15,25,40
MEZCALES DE LEYENDA PUEBLA,MEZCAL JOVEN,UNAGED,"PUEBLA, MEXICO",NAS,48.0,4,MEZCAL DE LEYENDAS ,15,3.85,SWEET & SALTY,JOHN RANKIN,95,35,15,65,10,0,0,55,89,80,80,20,0,70,30
123 ORGANIC EXTRA AÑEJO DIABLITO TEQUILA,TEQUILA EXTRA AÑEJO,"NEW, CHARRED FRENCH OAK","JALISCO, MEXICO",NAS,40.0,5,123 SPIRITS ,19,4.61,SWEET & RICH,AMANDA SCHUSTER,95,15,10,20,20,20,0,70,70,0,15,0,10,40,5
DEL MAGUEY PECHUGA MEZCAL,MEZCAL JOVEN,UNAGED,"OAXACA, MEXICO",NAS,49.0,5,DEL MAGUEY ,65,4.44,SPICY & RICH,KELLEY SLAGLE,95,40,40,70,45,35,0,55,50,15,0,20,0,40,0
WAHAKA MEZCAL TOBALÁ,MEZCAL JOVEN,UNAGED,"OAXACA, MEXICO",NAS,42.0,3,WAHAKA MEZCAL ,18,4.38,HERBAL & FLORAL,DANIEL DJANG,95,45,45,30,80,25,10,55,60,40,35,60,10,65,75
WAHAKA MEZCAL JOVEN MADRE CUISHE,MEZCAL JOVEN,UNAGED,"OAXACA, MEXICO",NAS,42.0,3,WAHAKA MEZCAL ,17,4.09,MINERAL & EARTHY,DANIEL DJANG,95,45,75,35,70,20,10,35,30,75,35,65,10,60,30
DON PILAR EXTRA AÑEJO TEQUILA,TEQUILA EXTRA AÑEJO,AMERICAN WHITE OAK AND FRENCH LIMOUSIN OAK,"LOS ALTOS, JALISCO, MEXICO",NAS,40.0,5,DON PILAR ,6,4.45,RICH & SWEET,AMANDA SCHUSTER,95,10,10,50,25,15,0,85,75,0,0,0,5,40,0
FUENTESECA RESERVA EXTRA AÑEJO TEQUILA 21 AÑOS,TEQUILA EXTRA AÑEJO,unknown,unknown,unknown,43.5,5,unknown,4,4.81,SWEET,JACOB GRIER,95,0,15,25,10,10,0,30,30,15,10,5,0,20,0
MEZCAL VAGO TOBALÁ,MEZCAL JOVEN,UNAGED,"OAXACA, MEXICO",NAS,51.0,4,MEZCAL VAGO ,25,4.33,HERBAL & MINERAL,DUNCAN MCROBERTS,95,65,65,70,85,60,50,70,50,70,65,60,45,55,65
DON JULIO AÑEJO TEQUILA,TEQUILA AÑEJO,unknown,unknown,unknown,40.0,3,unknown,494,4.22,RICH & SPICY,RON BECHTOL,95,30,45,60,45,20,5,75,55,20,10,25,5,55,30
DULCE VIDA AÑEJO 100 PROOF TEQUILA,TEQUILA AÑEJO,AMERICAN OAK EX-BOURBON,"LOS ALTOS, JALISCO, MEXICO",NAS,50.0,2,DULCE VIDA ,31,4.3,RICH & SPICY,RON BECHTOL,95,5,20,60,50,25,5,70,55,15,5,20,5,15,15
ESPÍRITU LAURO AÑEJO MEZCAL,MEZCAL AÑEJO,unknown,unknown,unknown,40.0,4,unknown,7,3.64,RICH & SPICY,AMANDA SCHUSTER,95,40,30,60,30,30,5,80,50,15,20,5,10,25,0
T1 TEQUILA BLANCO ULTRA FINO,TEQUILA BLANCO,unknown,"LOS ALTOS, JALISCO, MEXICO",NAS,40.0,2,T1 TEQUILA UNO ,11,4.54,FRUITY & SPICY,RON BECHTOL,95,30,60,75,70,25,10,50,65,50,30,10,15,75,45
GRAN CENTENARIO PLATA TEQUILA,TEQUILA BLANCO,FRENCH LIMOUSIN OAK,"JALISCO, MEXICO",NAS,40.0,2,GRAN CENTENARIO ,94,4.1,FRUITY & SWEET,AMANDA SCHUSTER,95,10,10,30,40,20,0,70,70,10,0,5,5,75,10
TEQUILA OCHO REPOSADO LAS POMEZ 2009,TEQUILA REPOSADO,TEQUILA-SEASONED AMERICAN OAK EX-AMERICAN WHISKEY BARRELS,"LOS ALTOS, JALISCO, MEXICO",unknown,40.0,3,TEQUILA OCHO ,7,4.64,HERBAL & SWEET,DANIEL DJANG,95,40,60,40,70,35,10,30,60,30,25,15,20,50,55
SIEMBRA AZUL 10TH ANNIVERSARY REPOSADO TEQUILA,TEQUILA REPOSADO,"NEW, WHITE MISSOURI OAK","JALISCO, MEXICO",NAS,40.0,2,SIEMBRA AZUL ,9,4.72,RICH & SPICY,AMANDA SCHUSTER,95,5,0,70,30,0,10,80,60,15,0,0,25,50,0
TEQUILA OCHO PLATA MIRANDILLAS PUNTAS DISTILLER'S CUT 2024,TEQUILA BLANCO,unknown,"LOS ALTOS, JALISCO, MEXICO",NAS,54.0,3,TEQUILA OCHO ,2,4.5,HERBAL & EARTHY,STEPHANIE MORENO,94,5,65,35,85,35,50,60,55,45,10,10,45,55,0
PRÓSPERO BLANCO TEQUILA,TEQUILA BLANCO,UNAGED,"TEQUILA VALLEY, JALISCO, MEXICO",NAS,40.0,2,PRÓSPERO ,9,3.59,SPICY,ANNA ARCHIBALD,94,0,17,60,30,15,0,35,25,0,20,0,25,30,25
TEQUILA EL MAYOR SINGLE ESTATE LOS LOBOS PLANTATION BLANCO,TEQUILA BLANCO,UNAGED,"JALISCO, MEXICO",NAS,40.0,4,TEQUILA EL MAYOR ,6,4.0,RICH & SPICY,JOHN RANKIN,94,5,55,75,70,5,0,80,45,60,65,20,5,60,5
DON AMADO PECHUGA MEZCAL,MEZCAL JOVEN,UNAGED,"OAXACA, MEXICO",NAS,46.0,4,DON AMADO ,3,4.5,UMAMI & FRUITY,FORREST COKELY,94,42,65,80,63,59,28,63,60,74,57,89,38,82,68
DON AMADO ARROQUEÑO MEZCAL,MEZCAL JOVEN,UNAGED,"OAXACA, MEXICO",NAS,47.0,4,DON AMADO ,7,3.96,UMAMI & MINERAL,FORREST COKELY,94,65,66,73,77,59,33,62,54,80,61,82,55,76,76
SOTOL COYOTE BLANCO CHIHUAHUA,SOTOL,unknown,"CHIHUAHUA, MEXICO",NAS,48.0,3,COYOTE ,10,4.18,UMAMI & EARTHY,JOHN RANKIN,94,55,85,55,15,10,0,65,35,80,75,90,5,65,60
4 COPAS TEQUILA AÑEJO,TEQUILA AÑEJO,AMERICAN OAK,"JALISCO, MEXICO",NAS,40.0,3,4 COPAS ,12,4.46,SPICY,JACK ROBERTIELLO,94,0,20,55,25,15,5,50,20,15,0,10,0,45,15
DON PILAR REPOSADO TEQUILA,TEQUILA REPOSADO,VIRGIN WHITE OAK,"LOS ALTOS, JALISCO, MEXICO",NAS,40.0,2,DON PILAR ,1,4.75,SWEET & RICH,AMANDA SCHUSTER,94,5,15,40,0,15,0,70,70,5,0,0,20,40,0
ARTA TEQUILA AÑEJO,TEQUILA AÑEJO,EX-BOURBON,"TEQUILA VALLEY, JALISCO, MEXICO",NAS,40.0,2,ARTA TEQUILA ,7,4.48,RICH,AMANDA SCHUSTER,94,20,20,40,40,20,5,70,50,0,0,5,0,30,0
SIEMBRA METL CENIZO MEZCAL,MEZCAL JOVEN,NONE,"MICHOACAN, MEXICO",NAS,48.0,3,SIEMBRA METL ,7,3.61,HERBAL & EARTHY,OMARI WHEAT,94,70,80,65,80,40,20,75,75,60,40,50,50,65,25
GRACIAS A DIOS MEZCAL TOBALÁ,MEZCAL JOVEN,unknown,"OAXACA, MEXICO",NAS,45.0,3,GRACIAS A DIOS ,14,4.33,SMOKY & RICH,AMANDA SCHUSTER,94,80,40,60,50,20,15,60,30,10,0,20,10,25,0
TEQUILA SAN MATIAS GRAN RESERVA EXTRA AÑEJO,TEQUILA EXTRA AÑEJO,"EX-BOURBON, FRENCH OAK","LOS ALTOS, JALISCO, MEXICO",NAS,40.0,3,TEQUILA SAN MATIAS ,48,4.38,RICH & SWEET,AMANDA SCHUSTER,94,10,5,30,30,15,0,85,80,0,0,0,20,50,10
WAHAKA MEZCAL JOVEN ENSAMBLE,MEZCAL JOVEN,unknown,"OAXACA, MEXICO",NAS,40.0,3,WAHAKA MEZCAL ,12,4.6,HERBAL & FLORAL,DANIEL DJANG,94,50,70,35,75,25,10,45,35,70,35,60,10,60,70
ILEGAL MEZCAL AÑEJO,MEZCAL AÑEJO,NEW & USED AMERICAN OAK,"OAXACA, MEXICO",NAS,40.0,4,ILEGAL MEZCAL ,90,4.26,SMOKY & RICH,AMANDA SCHUSTER,94,70,25,40,20,5,5,60,30,10,15,0,0,10,0
TEQUILA LAPIS PLATINUM,TEQUILA BLANCO,unknown,"LOS ALTOS, JALISCO, MEXICO",NAS,40.0,2,TEQUILA LAPIS ,2,4.0,FLORAL,RON BECHTOL,94,10,10,25,15,20,5,15,35,5,5,5,5,25,35
FUENTESECA RESERVA EXTRA AÑEJO TEQUILA 12 AÑOS,TEQUILA EXTRA AÑEJO,unknown,unknown,unknown,45.0,5,unknown,3,4.5,RICH,JACOB GRIER,94,10,20,40,15,30,0,60,20,15,10,10,0,30,0
AVIÓN RESERVA 44 EXTRA AÑEJO,TEQUILA EXTRA AÑEJO,OAK BARRELS,"LOS ALTOS, JALISCO, MEXICO",NAS,40.0,4,AVIÓN ,131,4.42,RICH & SPICY,PAUL BELBUSTI,94,60,70,75,60,40,10,90,50,60,45,60,20,65,30
LA VENENOSA COSTA RAICILLA (GREEN LABEL),RAICILLA,UNAGED,"JALISCO, MEXICO",NAS,45.5,3,LA VENENOSA ,26,4.11,HERBAL & EARTHY,OMARI WHEAT,94,45,90,25,90,35,25,60,65,50,40,35,40,45,15
DON JULIO BLANCO TEQUILA,TEQUILA BLANCO,unknown,unknown,unknown,40.0,2,unknown,384,3.95,SPICY & FRUITY,RON BECHTOL,94,25,30,80,65,10,5,30,15,20,15,10,10,75,50
BRUXO NO. 4 ENSAMBLE MEZCAL,MEZCAL JOVEN,unknown,unknown,unknown,46.0,4,unknown,16,4.05,RICH & SPICY,AMANDA SCHUSTER,94,60,20,60,40,20,10,75,30,10,25,5,0,40,10
EL JOLGORIO ESPADÍN MEZCAL,MEZCAL JOVEN,unknown,unknown,NAS,47.8,4,unknown,31,4.42,HERBAL & SMOKY,DANIEL DJANG,94,74,72,55,77,25,10,62,15,67,60,72,10,20,35
MEZCAL DE LAS HORMIGAS,MEZCAL JOVEN,unknown,unknown,unknown,40.0,2,unknown,3,1.0,SWEET,AMANDA SCHUSTER,94,25,10,20,50,15,0,30,60,10,5,5,0,40,10
T1 TEQUILA AÑEJO ESTELAR,TEQUILA AÑEJO,EX-WHISKY,"LOS ALTOS, JALISCO, MEXICO",NAS,40.0,3,T1 TEQUILA UNO ,10,4.5,SWEET & EARTHY,RON BECHTOL,94,45,75,70,50,40,5,70,75,35,15,30,5,60,30
DEL MAGUEY CHICHICAPA MEZCAL,MEZCAL JOVEN,UNAGED,"OAXACA, MEXICO",unknown,46.0,3,DEL MAGUEY ,255,4.32,RICH & SWEET,OMARI WHEAT,94,70,70,70,60,30,25,80,75,50,70,65,30,50,20
EXPRESIONES DEL CORAZÓN OLD RIP VAN WINKLE AÑEJO TEQUILA,TEQUILA AÑEJO,unknown,unknown,unknown,40.0,3,unknown,11,4.64,RICH,AMANDA SCHUSTER,94,15,5,35,30,10,0,60,50,10,0,0,0,40,0
FORTALEZA BLANCO TEQUILA,TEQUILA BLANCO,unknown,"TEQUILA VALLEY, JALISCO, MEXICO",NAS,40.0,2,TEQUILA FORTALEZA ,266,4.45,FRUITY,STEPHANIE MORENO,94,0,45,20,50,30,30,50,50,40,20,10,30,50,10
TEQUILA TAPATIO AÑEJO,TEQUILA AÑEJO,EX-BOURBON,"LOS ALTOS, JALISCO, MEXICO",NAS,40.0,2,TEQUILA TAPATIO ,25,3.74,RICH & SWEET,AMANDA SCHUSTER,94,0,10,40,30,20,0,80,70,15,0,0,0,30,0
MEZCALERO NO. 10,MEZCAL JOVEN,unknown,unknown,unknown,46.7,4,unknown,6,4.0,OILY & FRUITY,STEPHANIE MORENO,94,50,50,5,15,65,25,45,25,25,25,25,50,60,5
TEQUILA ARTENOM SELECCIÓN DE 1580 BLANCO,TEQUILA BLANCO,UNAGED,"LOS ALTOS, JALISCO, MEXICO",NAS,40.0,2,TEQUILA ARTENOM ,7,4.43,HERBAL,STEPHANIE MORENO,94,10,30,20,85,15,20,40,35,25,15,40,30,40,0
AZUÑIA AÑEJO TEQUILA,TEQUILA AÑEJO,AMERICAN OAK,"JALISCO, MEXICO",NAS,40.0,2,AZUÑIA ,21,4.41,SPICY,RON BECHTOL,94,20,25,50,40,25,5,35,20,5,5,35,5,15,15
AZUÑIA REPOSADO ORGANIC TEQUILA,TEQUILA REPOSADO,AMERICAN OAK,"JALISCO, MEXICO",NAS,40.0,2,AZUÑIA ,24,4.09,SPICY,RON BECHTOL,94,20,20,50,45,20,5,30,25,5,5,30,5,20,15
LALO HIGH PROOF TEQUILA,TEQUILA BLANCO,unknown,"JALISCO, MEXICO",NAS,54.0,3,LALO TEQUILA ,1,4.0,RICH,AMANDA SCHUSTER,93,3,10,8,10,0,5,50,30,25,20,8,15,35,5
EXPRESIONES DEL CORAZÓN FRENCH OAK AÑEJO TEQUILA (2023 COLLECTION),TEQUILA AÑEJO,EX-OLD CHARTER OAK FRENCH OAK BOURBON BARRELS,"LOS ALTOS, JALISCO, MEXICO",NAS,40.0,3,EXPRESIONES DEL CORAZÓN ,1,4.25,RICH,AMANDA SCHUSTER,93,0,8,25,20,10,0,70,35,10,8,15,15,30,5
CIERTO TEQUILA PRIVATE COLLECTION EXTRA AÑEJO,TEQUILA EXTRA AÑEJO,FRENCH LIMOUSIN OAK,"JALISCO, MEXICO",NAS,40.0,5,CIERTO ,4,3.83,SWEET,AMANDA SCHUSTER,93,5,10,20,10,15,2,50,50,5,5,8,0,15,0
DON JULIO ROSADO,TEQUILA REPOSADO,RUBY PORT WINE CASKS,"LOS ALTOS, JALISCO, MEXICO",NAS,40.0,4,DON JULIO ,6,3.54,RICH & HERBAL,STEPHANIE MORENO,93,0,20,25,55,10,35,55,35,20,0,0,45,45,10
FORTALEZA REPOSADO WINTER BLEND 2022,TEQUILA REPOSADO,"AMERICAN OAK, EX-TOKAJI, EX-OLOROSO SHERRY","TEQUILA VALLEY, JALISCO, MEXICO",NAS,43.5,4,TEQUILA FORTALEZA ,5,4.5,RICH,AMANDA SCHUSTER,93,3,10,30,15,20,0,70,35,0,5,0,10,40,5
EL LUCHADOR REPOSADO TEQUILA,TEQUILA REPOSADO,WHITE OAK BARRELS,"LOS ALTOS, JALISCO, MEXICO",NAS,40.0,2,EL LUCHADOR ,2,4.25,RICH,STEPHANIE MORENO,93,15,40,30,40,35,40,50,25,25,10,10,45,0,40
BOZAL GUÍAS DE CALABAZA SACRIFICIO,MEZCAL JOVEN,unknown,MEXICO,NAS,47.0,4,BOZAL ,2,4.63,FRUITY & HERBAL,JAKE EMEN,93,60,10,20,80,20,30,50,40,60,30,20,40,80,20
OAX ORIGINAL TEPEZTATE,MEZCAL JOVEN,unknown,"OAXACA, MEXICO",NAS,44.0,5,OAX ORIGINAL ,3,4.83,HERBAL & FLORAL,JAKE EMEN,93,40,30,30,90,60,50,40,40,40,20,40,50,40,80
HERRADURA LEGEND TEQUILA,TEQUILA AÑEJO,"GROOVED, HEAVILY-CHARRED AMERICAN WHITE OAK","TEQUILA VALLEY, JALISCO, MEXICO",NAS,40.0,4,HERRADURA ,28,4.03,RICH & HERBAL,STEPHANIE MORENO,93,45,55,45,65,15,55,65,60,15,0,20,45,10,0
CINCORO AÑEJO,TEQUILA AÑEJO,EX-AMERICAN WHISKEY BARRELS,"JALISCO, MEXICO",NAS,40.0,4,CINCORO ,52,4.27,RICH & SWEET,JAKE EMEN,93,40,30,30,60,30,40,90,80,10,50,20,20,20,0
DON JULIO REPOSADO DOUBLE CASK LAGAVULIN FINISH,TEQUILA REPOSADO,FINISHED IN LAGAVULIN CASKS,"LOS ALTOS, JALISCO, MEXICO",NAS,40.0,3,DON JULIO ,43,4.28,RICH & SPICY,ANNA ARCHIBALD,93,25,30,65,17,10,0,85,30,0,10,0,10,15,0
EL TESORO EXTRA AÑEJO 80TH ANNIVERSARY,TEQUILA EXTRA AÑEJO,AMERICAN OAK EX-BOURBON,"LOS ALTOS, JALISCO, MEXICO",8 YEAR,41.5,5,EL TESORO ,8,4.63,SPICY,STEPHANIE MORENO,93,15,20,85,40,15,15,15,40,0,0,15,30,20,0
MEZCALES DE LEYENDA SAN LUIS POTOSÍ,MEZCAL JOVEN,UNAGED,"SAN LUIS POTOSÍ, MEXICO",NAS,42.0,3,MEZCAL DE LEYENDAS ,10,4.28,SPICY & SALTY,JOHN RANKIN,93,15,20,88,60,5,0,75,70,80,80,15,10,70,20
PASOTE TEQUILA BLANCO,TEQUILA BLANCO,UNAGED,"LOS ALTOS, JALISCO, MEXICO",NAS,40.0,2,PASOTE ,37,4.17,FRUITY & SWEET,FORREST COKELY,93,0,51,61,67,70,11,65,72,71,42,61,22,72,51
HERRADURA COLECCIÓN DE LA CASA RESERVA 2016 PORT CASK FINISHED REPOSADO,TEQUILA REPOSADO,AMERICAN WHITE OAK AND VINTAGE PORT,"JALISCO, MEXICO",NAS,40.0,4,HERRADURA ,10,4.45,SPICY,RON BECHTOL,93,20,30,45,40,20,5,40,25,5,10,10,5,25,20
REY CAMPERO CUISHE MEZCAL,MEZCAL JOVEN,UNAGED,"OAXACA, MEXICO",NAS,48.1,3,REY CAMPERO ,19,4.17,FRUITY,AMANDA SCHUSTER,93,40,20,40,25,5,0,50,50,20,20,0,20,60,30
TEQUILA ORGULLO PUEBLO VIEJO AÑEJO,TEQUILA AÑEJO,"EX-BOURBON, FRENCH OAK","JALISCO , MEXICO",NAS,40.0,2,PUEBLO VIEJO ,6,4.88,RICH & SWEET,AMANDA SCHUSTER,93,15,10,30,5,10,0,75,70,0,0,0,20,40,0
EL JOLGORIO CUIXE MEZCAL,MEZCAL JOVEN,unknown,"OAXACA, MEXICO",NAS,47.0,4,EL JOLGORIO ,18,4.49,RICH,JACOB GRIER,93,20,20,30,10,30,0,60,20,30,0,0,10,20,0
TEQUILA OCHO AÑEJO EL VERGEL 2007,TEQUILA AÑEJO,USED WHISKEY BARRELS,"LOS ALTOS, JALISCO, MEXICO",NAS,40.0,4,TEQUILA OCHO ,3,4.31,SPICY,KELLEY SLAGLE,93,10,20,70,10,30,0,50,40,10,0,0,5,45,25
MEZCAL PIERDE ALMAS TOBAZICHE,MEZCAL JOVEN,unknown,"OAXACA, MEXICO",NAS,48.0,4,PIERDE ALMAS ,13,4.55,EARTHY & UMAMI,DANIEL DJANG,93,60,80,65,70,30,25,45,65,70,65,75,10,60,70
EL TESORO AÑEJO TEQUILA,TEQUILA AÑEJO,EX-BOURBON,"LOS ALTOS, JALISCO, MEXICO",NAS,40.0,4,EL TESORO ,114,4.08,SWEET,STEPHANIE MORENO,93,15,30,35,35,30,15,45,50,15,10,10,35,15,0
DON FULANO REPOSADO TEQUILA,TEQUILA REPOSADO,NEW AND USED FRENCH LIMOUSIN OAK,"TEQUILA VALLEY, JALISCO, MEXICO",NAS,40.0,3,DON FULANO ,23,4.23,RICH,AMANDA SCHUSTER,93,5,10,20,20,5,5,50,25,15,5,12,15,30,5
TEQUILA LAPIS AÑEJO,TEQUILA AÑEJO,FRENCH OAK,"LOS ALTOS, JALISCO, MEXICO",unknown,40.0,3,TEQUILA LAPIS ,5,4.3,FLORAL,RON BECHTOL,93,10,15,20,15,15,5,30,30,5,5,15,5,20,30
FUENTESECA RESERVA EXTRA AÑEJO TEQUILA 18 AÑOS,TEQUILA EXTRA AÑEJO,unknown,unknown,unknown,43.5,5,unknown,2,5.0,SWEET,JACOB GRIER,93,0,10,15,10,20,0,50,50,10,0,5,0,15,0
REY CAMPERO MEXICANO MEZCAL,MEZCAL JOVEN,unknown,"OAXACA, MEXICO",NAS,48.6,4,REY CAMPERO ,22,4.33,FRUITY,RON BECHTOL,93,25,20,30,30,25,5,25,35,15,10,20,5,35,25
MEZCAL VAGO BLANCO Y NEGRA,MEZCAL JOVEN,UNAGED,"OAXACA, MEXICO",NAS,51.6,4,MEZCAL VAGO ,2,3.5,OILY & EARTHY,DUNCAN MCROBERTS,93,70,85,80,65,85,55,80,40,40,60,80,35,20,40
KOCH EL MEZCAL LUMBRE,MEZCAL JOVEN,UNAGED,"OAXACA, MEXICO",NAS,47.0,4,KOCH EL MEZCAL ,5,4.45,RICH & HERBAL,OMARI WHEAT,93,60,75,65,75,30,40,85,55,45,40,20,35,70,15
CLASE AZUL TEQUILA PLATA,TEQUILA BLANCO,UNAGED,"LOS ALTOS, JALISCO, MEXICO",NAS,40.0,3,CLASE AZUL ,91,4.14,SWEET & RICH,BROCK SCHULTE,93,0,81,63,84,40,60,88,91,76,70,71,75,86,75
DEL MAGUEY SAN JOSE RIO MINAS MEZCAL,MEZCAL JOVEN,UNAGED,"OAXACA, MEXICO",unknown,48.0,4,DEL MAGUEY ,4,4.38,FRUITY & SWEET,OMARI WHEAT,93,45,15,30,60,20,30,70,80,30,25,15,65,90,70
MEZCAL MARCA NEGRA DOBADÁN,MEZCAL JOVEN,unknown,unknown,unknown,48.0,4,unknown,11,4.55,HERBAL & SMOKY,DISTILLER STAFF,93,84,43,67,90,42,80,30,60,22,16,80,55,70,34
MARCA NEGRA TOBALÁ MEZCAL,MEZCAL JOVEN,unknown,unknown,unknown,48.0,4,unknown,31,4.64,RICH & SALTY,OMARI WHEAT,93,60,55,35,45,40,30,80,70,50,73,50,50,60,10
MEZCAL LOS SIETE MISTERIOS ARROQUEÑO,MEZCAL JOVEN,unknown,"OAXACA, MEXICO",NAS,48.7,4,LOS SIETE MISTERIOS ,13,4.38,TART & FRUITY,OMARI WHEAT,93,50,65,40,65,35,45,55,60,75,35,20,80,75,45
ESPÍRITU LAURO REPOSADO MEZCAL,MEZCAL REPOSADO,AMERICAN OAK EX-WHISKEY,"OAXACA, MEXICO",NAS,40.0,3,ESPÍRITU LAURO ,4,4.75,SWEET & RICH,AMANDA SCHUSTER,93,30,10,30,10,20,0,60,60,10,10,5,0,35,0
TEQUILA GRAN DOVEJO REPOSADO,TEQUILA REPOSADO,unknown,unknown,unknown,40.0,2,unknown,1,4.25,FRUITY & SPICY,DISTILLER STAFF,93,20,40,78,27,29,32,50,72,24,23,46,40,82,40
EL JIMADOR AÑEJO TEQUILA,TEQUILA AÑEJO,unknown,unknown,unknown,40.0,1,unknown,107,3.76,RICH & OILY,DISTILLER STAFF,93,28,70,0,55,84,58,84,70,12,0,78,42,67,70
TEQUILA OCHO EXTRA AÑEJO SAN AGUSTIN 2009,TEQUILA EXTRA AÑEJO,unknown,"LOS ALTOS, JALISCO, MEXICO",unknown,40.0,5,TEQUILA OCHO ,14,4.52,RICH & FLORAL,BROCK SCHULTE,93,30,75,85,40,73,0,90,83,67,81,81,60,89,89
TEQUILA OCHO PLATA EL PUERTECITO 2011,TEQUILA BLANCO,unknown,"LOS ALTOS, JALISCO, MEXICO",unknown,40.0,2,TEQUILA OCHO ,2,4.63,MINERAL & FLORAL,DANIEL DJANG,93,10,35,30,60,30,10,20,62,80,55,10,15,65,72
123 ORGANIC REPOSADO (DOS) TEQUILA,TEQUILA REPOSADO,unknown,unknown,unknown,40.0,3,unknown,42,4.26,HERBAL & FRUITY,RYAN CONKLIN,93,68,75,74,84,75,68,76,78,72,78,78,70,82,71
123 ORGANIC AÑEJO (TRES) TEQUILA,TEQUILA AÑEJO,WHITE OAK,"TEQUILA VALLEY, JALISCO, MEXICO",NAS,40.0,3,123 SPIRITS ,49,4.45,RICH & SPICY,RYAN CONKLIN,93,58,68,82,73,76,73,89,75,70,74,77,64,77,72
SIETE LEGUAS BLANCO TEQUILA,TEQUILA BLANCO,UNAGED,"LOS ALTOS, JALISCO, MEXICO",NAS,40.0,2,SIETE LEGUAS ,98,4.12,RICH,STEPHANIE MORENO,93,15,50,10,40,20,15,65,45,20,15,5,15,30,0
CAMBIO BLANCO TEQUILA,TEQUILA BLANCO,USED FRENCH OAK WINE BARRELS,"JALISCO, MEXICO",NAS,46.0,2,CAMBIO TEQUILA ,unknown,unknown,RICH,AMANDA SCHUSTER,92,0,20,25,30,10,10,40,30,15,5,5,10,30,10
CIERTO TEQUILA PRIVATE COLLECTION AÑEJO,TEQUILA AÑEJO,FRENCH LIMOUSIN OAK,"JALISCO, MEXICO",NAS,40.0,5,CIERTO ,2,2.63,RICH,AMANDA SCHUSTER,92,3,15,20,10,5,3,60,35,10,0,0,0,10,0
MIJENTA TEQUILA REPOSADO,TEQUILA REPOSADO,"AMERICAN WHITE OAK, FRENCH OAK, FRENCH ACACIA CASKS","LOS ALTOS, JALISCO, MEXICO",NAS,40.0,3,MIJENTA ,19,3.95,HERBAL,STEPHANIE MORENO,92,10,45,35,60,20,35,40,40,20,10,15,40,35,0
FORTALEZA REPOSADO WINTER BLEND 2021,TEQUILA REPOSADO,"AMERICAN OAK, EUROPEAN OAK EX-MARSALA","JALISCO, MEXICO",NAS,46.3,5,TEQUILA FORTALEZA ,4,4.38,RICH & SWEET,AMANDA SCHUSTER,92,10,15,40,20,10,5,85,70,10,5,8,20,30,5
DON JULIO ULTIMA RESERVA EXTRA AÑEJO,TEQUILA EXTRA AÑEJO,EX-BOURBON; FINISHED IN MADEIRA WINE CASKS,"LOS ALTOS, JALISCO, MEXICO",NAS,40.0,5,DON JULIO ,3,4.38,SWEET & BITTER,STEPHANIE MORENO,92,10,30,55,50,10,55,45,55,15,0,10,30,25,0
