abv %,cost,# ratings,community rating,expert score,smoky,earthy,spicy,herbal,oily,bitter,rich,sweet,mineral,salty,umami,tart,fruity,floral,type_MEZCAL AÑEJO,type_MEZCAL JOVEN,type_MEZCAL REPOSADO,type_RAICILLA,type_SOTOL,type_TEQUILA AÑEJO,type_TEQUILA BLANCO,type_TEQUILA EXTRA AÑEJO,type_TEQUILA JOVEN,type_TEQUILA REPOSADO
47.0,4,7,3.96,94,65,66,73,77,59,33,62,54,80,61,82,55,76,76,False,True,False,False,False,False,False,False,False,False
48.0,3,10,4.18,94,55,85,55,15,10,0,65,35,80,75,90,5,65,60,False,False,False,False,True,False,False,False,False,False
40.0,3,12,4.46,94,0,20,55,25,15,5,50,20,15,0,10,0,45,15,False,False,False,False,False,True,False,False,False,False
40.0,2,1,4.75,94,5,15,40,0,15,0,70,70,5,0,0,20,40,0,False,False,False,False,False,False,False,False,False,True
40.0,2,7,4.48,94,20,20,40,40,20,5,70,50,0,0,5,0,30,0,False,False,False,False,False,True,False,False,False,False
48.0,3,7,3.61,94,70,80,65,80,40,20,75,75,60,40,50,50,65,25,False,True,False,False,False,False,False,False,False,False
45.0,3,14,4.33,94,80,40,60,50,20,15,60,30,10,0,20,10,25,0,False,True,False,False,False,False,False,False,False,False
40.0,3,48,4.38,94,10,5,30,30,15,0,85,80,0,0,0,20,50,10,False,False,False,False,False,False,False,True,False,False
40.0,3,12,4.6,94,50,70,35,75,25,10,45,35,70,35,60,10,60,70,False,True,False,False,False,False,False,False,False,False
40.0,4,90,4.26,94,70,25,40,20,5,5,60,30,10,15,0,0,10,0,True,False,False,False,False,False,False,False,False,False
40.0,2,2,4.0,94,10,10,25,15,20,5,15,35,5,5,5,5,25,35,False,False,False,False,False,False,True,False,False,False
45.0,5,3,4.5,94,10,20,40,15,30,0,60,20,15,10,10,0,30,0,False,False,False,False,False,False,False,True,False,False
40.0,4,131,4.42,94,60,70,75,60,40,10,90,50,60,45,60,20,65,30,False,False,False,False,False,False,False,True,False,False
45.5,3,26,4.11,94,45,90,25,90,35,25,60,65,50,40,35,40,45,15,False,False,False,True,False,False,False,False,False,False
40.0,2,384,3.95,94,25,30,80,65,10,5,30,15,20,15,10,10,75,50,False,False,False,False,False,False,True,False,False,False
46.0,4,16,4.05,94,60,20,60,40,20,10,75,30,10,25,5,0,40,10,False,True,False,False,False,False,False,False,False,False
